Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,0,1.0,24924.5,42.31,2.572,211.0963582,8.106
2010-02-05,0,26.0,11737.12,42.31,2.572,211.0963582,8.106
2010-02-05,0,17.0,13223.76,42.31,2.572,211.0963582,8.106
2010-02-05,0,45.0,37.44,42.31,2.572,211.0963582,8.106
2010-02-05,0,28.0,1085.29,42.31,2.572,211.0963582,8.106
2010-02-05,0,79.0,46729.77,42.31,2.572,211.0963582,8.106
2010-02-05,0,55.0,21249.31,42.31,2.572,211.0963582,8.106
2010-02-05,0,5.0,32229.38,42.31,2.572,211.0963582,8.106
2010-02-05,0,58.0,7659.97,42.31,2.572,211.0963582,8.106
2010-02-05,0,7.0,21084.08,42.31,2.572,211.0963582,8.106
2010-02-05,0,83.0,5711.19,42.31,2.572,211.0963582,8.106
2010-02-05,0,9.0,16930.99,42.31,2.572,211.0963582,8.106
2010-02-05,0,87.0,35972.49,42.31,2.572,211.0963582,8.106
2010-02-05,0,34.0,14350.83,42.31,2.572,211.0963582,8.106
2010-02-05,0,19.0,1947.05,42.31,2.572,211.0963582,8.106
2010-02-05,0,52.0,3508.04,42.31,2.572,211.0963582,8.106
2010-02-05,0,74.0,12251.94,42.31,2.572,211.0963582,8.106
2010-02-05,0,38.0,115564.35,42.31,2.572,211.0963582,8.106
2010-02-05,0,93.0,64494.87,42.31,2.572,211.0963582,8.106
2010-02-05,0,23.0,24146.49,42.31,2.572,211.0963582,8.106
2010-02-05,0,16.0,10217.55,42.31,2.572,211.0963582,8.106
2010-02-05,0,95.0,106690.06,42.31,2.572,211.0963582,8.106
2010-02-05,0,2.0,50605.27,42.31,2.572,211.0963582,8.106
2010-02-05,0,27.0,2293.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,51.0,1.16,42.31,2.572,211.0963582,8.106
2010-02-05,0,4.0,39954.04,42.31,2.572,211.0963582,8.106
2010-02-05,0,80.0,15694.17,42.31,2.572,211.0963582,8.106
2010-02-05,0,29.0,7024.95,42.31,2.572,211.0963582,8.106
2010-02-05,0,56.0,2567.36,42.31,2.572,211.0963582,8.106
2010-02-05,0,31.0,3455.92,42.31,2.572,211.0963582,8.106
2010-02-05,0,33.0,8589.77,42.31,2.572,211.0963582,8.106
2010-02-05,0,8.0,40129.01,42.31,2.572,211.0963582,8.106
2010-02-05,0,85.0,3825.78,42.31,2.572,211.0963582,8.106
2010-02-05,0,67.0,8414.14,42.31,2.572,211.0963582,8.106
2010-02-05,0,46.0,20837.77,42.31,2.572,211.0963582,8.106
2010-02-05,0,90.0,76419.47,42.31,2.572,211.0963582,8.106
2010-02-05,0,12.0,8449.54,42.31,2.572,211.0963582,8.106
2010-02-05,0,54.0,439.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,14.0,19466.91,42.31,2.572,211.0963582,8.106
2010-02-05,0,94.0,56655.39,42.31,2.572,211.0963582,8.106
2010-02-05,0,97.0,32153.04,42.31,2.572,211.0963582,8.106
2010-02-05,0,42.0,8366.71,42.31,2.572,211.0963582,8.106
2010-02-05,0,49.0,11501.46,42.31,2.572,211.0963582,8.106
2010-02-05,0,47.0,70.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,91.0,62424.14,42.31,2.572,211.0963582,8.106
2010-02-05,0,3.0,13740.12,42.31,2.572,211.0963582,8.106
2010-02-05,0,21.0,8907.63,42.31,2.572,211.0963582,8.106
2010-02-05,0,32.0,11875.84,42.31,2.572,211.0963582,8.106
2010-02-05,0,81.0,30052.75,42.31,2.572,211.0963582,8.106
2010-02-05,0,30.0,5491.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,44.0,4674.75,42.31,2.572,211.0963582,8.106
2010-02-05,0,36.0,120.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,48.0,814.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,22.0,13623.98,42.31,2.572,211.0963582,8.106
2010-02-05,0,60.0,1416.8,42.31,2.572,211.0963582,8.106
2010-02-05,0,35.0,2770.0,42.31,2.572,211.0963582,8.106
2010-02-05,0,24.0,8272.9,42.31,2.572,211.0963582,8.106
2010-02-05,0,82.0,19484.03,42.31,2.572,211.0963582,8.106
2010-02-05,0,13.0,41969.29,42.31,2.572,211.0963582,8.106
2010-02-05,0,40.0,66780.63,42.31,2.572,211.0963582,8.106
