,IsHoliday,Dept,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
100,0,2.0,0,0,0,0,1,1,2012
101,0,2.0,0,0,0,0,2,1,2012
102,0,2.0,0,0,0,0,3,1,2012
103,0,2.0,0,0,0,0,4,1,2012
104,0,2.0,0,0,0,0,5,2,2012
105,1,2.0,1,0,0,0,6,2,2012
106,0,2.0,0,0,0,0,7,2,2012
107,0,2.0,0,0,0,0,8,2,2012
108,0,2.0,0,0,0,0,9,3,2012
109,0,2.0,0,0,0,0,10,3,2012
110,0,2.0,0,0,0,0,11,3,2012
111,0,2.0,0,0,0,0,12,3,2012
112,0,2.0,0,0,0,0,13,3,2012
113,0,2.0,0,0,0,0,14,4,2012
114,0,2.0,0,0,0,0,15,4,2012
115,0,2.0,0,0,0,0,16,4,2012
116,0,2.0,0,0,0,0,17,4,2012
117,0,2.0,0,0,0,0,18,5,2012
118,0,2.0,0,0,0,0,19,5,2012
119,0,2.0,0,0,0,0,20,5,2012
120,0,2.0,0,0,0,0,21,5,2012
121,0,2.0,0,0,0,0,22,6,2012
122,0,2.0,0,0,0,0,23,6,2012
123,0,2.0,0,0,0,0,24,6,2012
124,0,2.0,0,0,0,0,25,6,2012
125,0,2.0,0,0,0,0,26,6,2012
126,0,2.0,0,0,0,0,27,7,2012
127,0,2.0,0,0,0,0,28,7,2012
128,0,2.0,0,0,0,0,29,7,2012
129,0,2.0,0,0,0,0,30,7,2012
130,0,2.0,0,0,0,0,31,8,2012
131,0,2.0,0,0,0,0,32,8,2012
132,0,2.0,0,0,0,0,33,8,2012
133,0,2.0,0,0,0,0,34,8,2012
134,0,2.0,0,0,0,0,35,8,2012
135,1,2.0,0,1,0,0,36,9,2012
136,0,2.0,0,0,0,0,37,9,2012
137,0,2.0,0,0,0,0,38,9,2012
138,0,2.0,0,0,0,0,39,9,2012
139,0,2.0,0,0,0,0,40,10,2012
140,0,2.0,0,0,0,0,41,10,2012
141,0,2.0,0,0,0,0,42,10,2012
142,0,2.0,0,0,0,0,43,10,2012
